ID,LastName,FirstName,email,Plus,Minus,credit_card,Tax
12-9321320,Pickle,Réjane,,$41564.80,$46160.22,3557725016917448,$16408.20
14-4213773,Hartford,Léa,,$46310.29,$13116.21,3544948067779642,$13397.19
92-0579703,Caldecott,Adélaïde,lcaldecott2@com.com,$44330.64,$9725.39,4508863396652307,$35768.27
43-3066209,Dohrmann,Cloé,odohrmann3@gov.uk,$32271.10,$33467.96,6398709109212517,$3876.95
39-1753452,Pes,Zhì,dpes4@trellian.com,$24467.01,$5220.55,3562917312487449,$5559.11
98-1640163,Satyford,Pénélope,asatyford5@friendfeed.com,$31883.05,$11529.92,3564171803659243,$5939.26
58-9143184,Corballis,Clémentine,scorballis6@mapquest.com,$25340.90,$3241.86,341075109903237,$45625.23
87-3594410,Hiseman,Bénédicte,chiseman7@sciencedirect.com,$46081.76,$36954.21,3548420880126084,$19464.18
74-7031522,Easton,Mà,,$37139.51,$14322.80,3528412919441844,$44003.80
86-6585171,Biasotti,Sòng,mbiasotti9@xrea.com,$48030.90,$31800.42,3558072029644498,$4110.14
28-6891438,Bebbell,,dbebbella@samsung.com,$39757.71,$12197.71,4175005806889556,$14871.65
58-1751666,Samwyse,Cléa,,$9807.42,$29090.41,3580466398701933,$6952.12
86-0727456,Scoggin,Océane,,$22325.83,$14027.14,3579323396395924,$4606.65
45-7551890,Malling,Desirée,,$17352.29,$29206.75,4917790730639028,$38339.60
34-1340103,McDell,,cmcdelle@angelfire.com,$9159.23,$42452.10,56022337683728317,$7092.27
47-9080463,Aleswell,Börje,waleswellf@chicagotribune.com,$40070.72,$31867.85,5326526320610843,$32194.87
87-6944856,Clymer,Laurène,,$31841.12,$43010.77,501871659091983888,$18668.75
91-2061763,Ballston,Maïly,dballstonh@rambler.ru,$8886.11,$37304.83,5641822556885797,$31717.78
87-8767085,Heibel,Anaëlle,,$16371.98,$6374.50,5602212449409178,$21756.39
89-7489320,Dorset,Wá,,$48117.54,$15385.57,6304307193068603193,$24184.42
